Student_ID,Attendance,Assignment_Score,Midterm_Score,Final_Score,Result
S174,80.1,94.6,84.5,34.3,Pass
S175,79.2,99.6,77.4,79.9,Pass
S176,87.4,65.5,33.6,50.1,Pass
S177,75.2,80.4,50.5,28.9,Fail
S178,96.8,75.6,60.0,51.4,Pass
S179,71.0,100.0,63.5,90.0,Pass
S180,100.0,90.2,77.4,77.0,Pass
S181,84.4,67.7,68.6,53.0,Pass
S182,62.1,52.8,38.3,53.0,Fail
S183,58.9,41.1,72.6,53.6,Pass
S184,82.2,73.7,77.2,100.0,Pass
S185,71.6,56.4,76.2,67.6,Pass
S186,85.7,44.4,86.6,68.6,Pass
S187,82.1,58.4,81.7,80.6,Pass
S188,73.9,50.5,74.2,64.8,Pass
S189,62.3,100.0,63.6,54.8,Pass
S190,52.3,85.9,31.8,56.1,Pass
S191,68.3,69.9,73.6,58.6,Pass
S192,87.8,96.6,69.2,59.3,Pass
S193,78.2,71.4,70.4,74.6,Pass
S194,56.3,54.5,39.5,61.0,Pass
S195,77.6,97.4,43.4,74.7,Pass
S196,80.8,79.7,86.1,58.4,Pass
S197,61.7,51.3,64.2,61.6,Pass
S198,77.3,66.6,78.6,20.0,Pass
S199,75.9,54.2,65.6,78.3,Pass
S200,57.9,45.1,65.6,66.9,Pass
S201,80.4,86.7,83.8,80.0,Pass
S202,83.4,100.0,54.7,2.1,Pass
S203,91.2,44.8,66.9,100.0,Pass
S204,90.8,80.1,55.8,57.2,Pass
S205,54.3,58.3,56.3,82.2,Pass
S206,60.9,61.2,58.8,39.2,Fail
S207,82.7,59.3,69.4,72.3,Pass
S208,82.7,54.4,55.4,38.9,Pass
S209,82.7,70.9,90.1,47.5,Pass
S210,100.0,55.0,47.1,98.3,Pass
S211,83.6,74.9,61.3,56.2,Pass
S212,92.0,69.1,56.2,64.3,Pass
S213,89.3,65.7,93.9,77.4,Pass
S214,84.8,53.7,68.9,69.9,Pass
S215,70.3,59.6,85.6,63.0,Pass
S216,86.4,83.6,35.3,67.3,Pass
S217,63.4,79.0,70.3,100.0,Pass
S218,71.4,52.4,82.8,58.8,Pass
S219,67.7,71.8,66.6,64.0,Pass
S220,76.2,83.5,86.3,81.0,Pass
S221,100.0,40.0,54.7,,Pass
S222,47.0,79.8,93.2,83.7,Pass
S223,85.3,58.1,100.0,72.8,Pass
S224,50.8,80.3,57.7,37.1,Pass
S225,67.9,56.3,56.1,92.7,Pass
S226,91.3,37.5,94.1,37.1,Pass
S227,76.0,40.7,96.6,66.1,Pass
S228,58.8,70.9,54.5,44.9,Pass
S229,64.3,74.7,56.6,58.7,Pass
S230,85.2,53.7,59.4,66.6,Pass
S231,64.0,81.5,38.1,66.4,Pass
S232,78.2,40.1,46.6,68.4,Pass
S233,75.7,68.8,44.9,92.3,Pass
S234,65.2,48.2,49.6,69.1,Pass
S235,100.0,58.3,64.3,55.1,Pass
S236,84.5,70.9,69.7,79.3,Pass
S237,44.6,54.5,96.0,83.8,Pass
S238,77.8,63.1,45.0,35.4,Pass
S239,65.1,88.1,84.7,71.9,Pass
S240,87.8,59.6,60.7,74.0,Pass
S241,63.1,85.0,64.0,54.0,Pass
S242,73.3,49.7,78.5,87.5,Pass
S243,82.6,79.5,42.5,57.0,Pass
S244,88.0,95.9,72.6,62.5,Pass
S245,57.0,25.5,68.3,56.5,Pass
S246,70.0,55.7,74.8,60.3,Pass
S247,67.9,80.4,70.8,38.1,Pass
S248,65.2,66.3,100.0,31.2,Pass
S249,100.0,76.7,,91.9,Pass
S250,81.1,59.1,54.4,43.1,Pass
S251,56.1,71.6,52.5,40.2,Pass
S252,88.8,67.2,53.9,16.9,Pass
S253,100.0,91.0,52.3,47.2,Pass
S254,90.5,74.6,88.8,33.5,Pass
S255,52.2,76.1,93.4,92.8,Pass
S256,67.7,62.6,53.6,80.2,Pass
S257,94.0,61.2,48.4,46.2,Pass
S258,64.4,62.2,74.4,100.0,Pass
S259,81.7,77.1,54.0,79.6,Pass
S260,86.6,62.4,77.7,53.5,Pass
S261,61.1,75.2,69.1,10.0,Fail
S262,74.1,100.0,34.7,100.0,Pass
S263,30.0,85.7,96.0,32.2,Fail
S264,59.6,64.1,100.0,27.1,Pass
S265,71.2,91.6,52.7,80.5,Pass
S266,56.3,62.7,57.2,100.0,Pass
S267,99.5,33.3,70.7,87.7,Pass
S268,53.5,51.9,71.7,71.3,Pass
S269,68.4,36.3,78.2,71.9,Pass
S270,77.0,63.7,100.0,77.1,Pass
S271,96.6,70.3,61.5,75.2,Pass
S272,53.5,100.0,49.0,65.6,Pass
S273,92.4,75.9,37.4,62.1,Pass
S274,75.2,66.1,50.4,58.7,Pass
S275,60.3,84.9,64.3,44.9,Pass
S276,81.9,30.2,100.0,54.4,Pass
S277,78.0,74.2,54.6,26.1,Pass
S278,66.0,83.9,69.5,58.0,Pass
S279,76.0,43.4,64.7,40.2,Pass
S280,69.2,90.6,88.8,37.9,Pass
S281,76.7,76.1,100.0,63.6,Pass
S282,84.9,62.5,54.4,87.8,Pass
S283,98.8,81.4,55.2,78.4,Pass
S284,56.4,100.0,85.9,28.6,Pass
S285,100.0,73.3,78.6,40.2,Pass
S286,45.7,74.5,100.0,78.8,Pass
S287,72.7,61.7,76.7,40.4,Pass
S288,,54.7,57.8,55.5,Pass
S289,79.2,84.9,76.8,71.0,Pass
S290,65.7,54.6,87.2,40.6,Pass
S291,71.9,71.3,81.4,62.1,Pass
S292,67.6,61.4,75.1,33.3,Pass
S293,66.2,78.6,86.3,48.0,Pass
S294,87.7,76.0,88.4,66.4,Pass
S295,80.4,88.7,92.6,28.1,Pass
S296,64.6,60.8,78.0,68.8,Pass
S297,88.5,65.1,61.7,59.6,Pass
S298,79.6,52.4,67.9,71.0,Pass
S299,87.2,62.0,89.1,64.5,Pass
S300,84.4,76.8,48.7,87.3,Pass
S001,82.5,55.1,80.1,67.4,Pass
